ho,type,area
1703,56.27E3,56.27
1704,62.45H,62.45
1705,56.99E2,56.99
1706,55.17D3,55.17
1707,55.17D1,55.17
1708,56.99E2,56.99
1709,54.77C1,54.77
1710,55.48D4,55.48
1711,56.99E2,56.99
1712,55.17D3,55.17
1713,55.17D1,55.17
1714,58.79F,58.79
1715,62.45H,62.45
1716,59.78G,59.78
1717,56.88E1,56.88
1718,53.04B1,53.04
1719,53.04B,53.04
1720,54.52C,54.52
1721,50.46A,50.46
1722,50.81A2,50.81
1723,50.81A2,50.81
1724,50.46A5,50.46
1801,54.52C,54.52
1802,55.12D,55.12
1803,56.27E3,56.27
1804,62.45H,62.45
1805,56.99E2,56.99
1806,55.17D3,55.17
1807,55.17D1,55.17
1808,56.99E2,56.99
1809,54.77C1,54.77
1810,55.48D4,55.48
1811,56.99E2,56.99
1812,55.17D3,55.17
1813,55.17D1,55.17
1814,58.79F,58.79
1815,62.45H,62.45
1816,59.78G1,59.78
1817,56.88E1,56.88
1818,53.04B1,53.04
1819,53.04B,53.04
1820,54.52C,54.52
1821,50.46A,50.46
1822,50.81A2,50.81
1823,50.81A2,50.81
1824,50.46A5,50.46
1901,54.52C,54.52
1902,55.12D,55.12
1903,56.27E3,56.27
1904,62.45H,62.45
1905,56.99E2,56.99
1906,55.17D3,55.17
1907,55.17D1,55.17
1908,56.99E2,56.99
1909,54.77C1,54.77
1910,55.48D4,55.48
1911,56.99E2,56.99
1912,55.17D3,55.17
1913,55.17D1,55.17
1914,58.79F,58.79
1915,62.45H1,62.45
1916,59.78G2,59.78
1917,56.88E1,56.88
1918,53.04B1,53.04
1919,53.04B,53.04
1920,54.52C,54.52
1921,50.46A,50.46
1922,50.81A2,50.81
1923,50.81A2,50.81
1924,50.46A5,50.46
2001,54.52C,54.52
2002,55.12D,55.12
2003,56.27E3,56.27
2004,62.45H,62.45
2005,56.99E2,56.99
2006,55.17D3,55.17
2007,55.17D1,55.17
2008,56.99E2,56.99
2009,54.77C1,54.77
2010,55.48D4,55.48
2011,56.99E2,56.99
2012,55.17D1,55.17
2013,55.17D3,55.17
2014,58.79F,58.79
2015,62.45H1,62.45
2016,59.78G1,59.78
2017,56.88E1,56.88
2018,53.04B1,53.04
2019,53.04B,53.04
2020,54.52C,54.52
2021,50.46A,50.46
2022,50.81A2,50.81
2023,50.81A2,50.81
2024,50.46A5,50.46
